Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
11,run,10000,TRUE,uniform,READ,80.2,6040.95,0.5,0.5,0,0,0,68200,1466.27566,49998,246.5353614,119,55679,465,693,49998
11,run,10000,TRUE,uniform,UPDATE,80.2,6040.95,0.5,0.5,0,0,0,68200,1466.27566,50002,1104.155654,152,1447935,559,822,50002
11,reference,10000,TRUE,uniform,READ,80.2,6315.45,0.5,0.5,0,0,0,61622,1622.797053,49956,288.6985948,113,65343,470,1023,49956
11,reference,10000,TRUE,uniform,UPDATE,80.2,6315.45,0.5,0.5,0,0,0,61622,1622.797053,50044,930.3644593,151,1249279,545,2555,50044
11,clean-run,10000,TRUE,uniform,READ,79.8,6345.38,0.5,0.5,0,0,0,75990,1315.962627,49993,269.9607745,125,178687,454,656,49993
11,clean-run,10000,TRUE,uniform,UPDATE,79.8,6345.38,0.5,0.5,0,0,0,75990,1315.962627,50007,1236.321615,141,1795071,516,816,50007
11,avg-run,10000,TRUE,uniform,READ,79.5,6831.59,0.5,0.5,0,0,0,45855,2180.787264,49856,248.54515,72,246783,440,703,49856
11,avg-run,10000,TRUE,uniform,UPDATE,79.5,6831.59,0.5,0.5,0,0,0,45855,2180.787264,50144,654.8601228,71,1422335,457,828,50144
12,extend,10000,TRUE,uniform,EXTEND,79,6788.28,0,0,0,0,1,725674,689.0146264,500000,1448.395448,258,2029567,843,7811,500000
12,run,10000,TRUE,uniform,READ,78.8,7094.82,0.5,0.5,0,0,0,80181,1247.178259,50059,261.875447,130,86911,461,678,50059
12,run,10000,TRUE,uniform,UPDATE,78.8,7094.82,0.5,0.5,0,0,0,80181,1247.178259,49941,1329.678541,162,1239039,574,8207,49941
12,reference,10000,TRUE,uniform,READ,78.4,7402.81,0.5,0.5,0,0,0,84458,1184.02046,49896,335.1857864,122,134527,489,1481,49896
12,reference,10000,TRUE,uniform,UPDATE,78.4,7402.81,0.5,0.5,0,0,0,84458,1184.02046,50104,1338.250419,165,1995775,1213,12087,50104
